epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28253,2.04507,47.4664,0.96346,0.0014,0.02632,0.0001,5e-05,1.71935,53.3214,0.88224,0.00012,0.00012,0.00012
2,9.43101,2.25218,40.4355,0.96212,0.00067,0.13158,0.00011,3e-05,2.28323,834.377,0.96732,0.000257426,0.000257426,0.000257426
3,10.9498,2.16369,7.87913,0.8862,0.56939,0.48736,0.47245,0.22671,1.94585,8.98189,0.8163,0.00039208,0.00039208,0.00039208
4,12.6588,2.32685,3.37101,0.83989,0.16786,0.5,0.11582,0.05218,2.20714,43.2642,0.84071,0.000523962,0.000523962,0.000523962
5,14.1672,2.22326,2.0463,0.84009,0.16318,0.18421,0.08435,0.03524,2.37955,6.13199,0.87305,0.000653072,0.000653072,0.000653072
6,15.8033,2.37282,1.70635,0.81897,0,0,0,0,nan,nan,nan,0.00077941,0.00077941,0.00077941
7,17.2882,2.2658,1.47095,0.84447,0,0,0,0,nan,nan,nan,0.000902976,0.000902976,0.000902976
8,18.7611,2.30745,1.30581,0.82254,0,0,0,0,nan,nan,nan,0.00102377,0.00102377,0.00102377
9,20.2659,2.17118,1.2023,0.76759,0,0,0,0,nan,nan,nan,0.00114179,0.00114179,0.00114179
10,21.7222,2.21117,1.15921,0.79911,0,0,0,0,nan,nan,nan,0.00125704,0.00125704,0.00125704
11,23.1747,2.098,1.03121,0.81901,0,0,0,0,nan,nan,nan,0.00136952,0.00136952,0.00136952
12,24.6523,2.15893,1.05312,0.78382,0.01093,0.02632,0.00054,0.00034,3.35201,nan,1.05502,0.00147923,0.00147923,0.00147923
13,26.0821,2.24912,1.34212,0.80046,0,0,0,0,4.79204,5.05078,1.35687,0.00158616,0.00158616,0.00158616
14,27.5381,1.98602,1.46629,0.79222,0,0,0,0,2.91588,nan,1.0452,0.00169032,0.00169032,0.00169032
15,29.071,2.18175,1.4279,0.77957,0,0,0,0,4.80204,nan,3.8742,0.0017228,0.0017228,0.0017228
16,30.5296,2.11251,1.30456,0.78321,0.00027,0.05263,2e-05,1e-05,4.11819,inf,2.47303,0.001703,0.001703,0.001703
17,32.0507,2.20126,1.03685,0.7773,0.87129,0.05263,0.055,0.03496,2.44598,4.95964,0.91225,0.0016832,0.0016832,0.0016832
18,33.5152,2.05375,1.00495,0.75085,0.33161,0.10526,0.08908,0.0536,2.5575,6.92269,0.94336,0.0016634,0.0016634,0.0016634
19,34.9796,1.93562,0.99915,0.78122,0.02804,0.15789,0.01384,0.00698,2.94743,4.94713,0.87835,0.0016436,0.0016436,0.0016436
20,36.444,2.04356,1.00378,0.7861,1,0.05253,0.05744,0.01392,3.9371,4.65535,0.94007,0.0016238,0.0016238,0.0016238
21,37.8761,2.09155,0.94131,0.79623,0.00091,0.07895,0.00011,2e-05,4.52026,135.69,1.14486,0.001604,0.001604,0.001604
22,39.3675,1.92806,0.8939,0.7988,0,0,0,0,5.51061,1970.79,1.46462,0.0015842,0.0015842,0.0015842
23,40.8311,2.04415,0.91702,0.78596,0.58221,0.02632,0.02592,0.01268,3.91391,4.19322,1.20971,0.0015644,0.0015644,0.0015644
24,42.2886,2.18041,0.91959,0.79137,0.75551,0.42105,0.46485,0.16808,2.88616,1.69629,0.93566,0.0015446,0.0015446,0.0015446
25,43.7227,1.96199,0.85755,0.76948,0.89632,0.68259,0.73678,0.31776,2.3923,1.49663,0.84421,0.0015248,0.0015248,0.0015248
26,45.4217,1.99048,0.83756,0.77297,0.8236,0.31579,0.30081,0.19401,2.11198,1.6131,0.93695,0.001505,0.001505,0.001505
27,46.8792,1.99035,0.84663,0.80469,0.31585,0.13158,0.09145,0.03367,3.42339,3.45183,1.35451,0.0014852,0.0014852,0.0014852
28,48.5083,1.94377,0.84857,0.78578,0.97962,0.10526,0.11851,0.0781,3.17216,3.00263,1.28288,0.0014654,0.0014654,0.0014654
29,49.9589,1.88035,0.78335,0.78242,0.96134,0.15789,0.1555,0.10699,2.86456,2.6213,1.16423,0.0014456,0.0014456,0.0014456
30,51.4405,1.81642,0.73157,0.7862,0.71346,0.18421,0.20209,0.07886,3.16421,2.46945,1.07947,0.0014258,0.0014258,0.0014258
31,52.9319,1.77949,0.77126,0.78592,0.78842,0.39238,0.42877,0.21715,2.36505,2.06873,0.88658,0.001406,0.001406,0.001406
32,54.4095,1.94747,0.77504,0.76478,0.81659,0.23454,0.26482,0.12878,2.9082,2.64841,0.9707,0.0013862,0.0013862,0.0013862
33,55.8547,1.72394,0.70618,0.75527,0.85393,0.21053,0.2247,0.11391,3.01857,2.83472,1.00027,0.0013664,0.0013664,0.0013664
34,57.3197,1.71181,0.73664,0.80115,0.78581,0.39474,0.47396,0.21561,2.44141,1.93956,0.88393,0.0013466,0.0013466,0.0013466
35,58.7794,1.6905,0.71296,0.75856,0.7797,0.55263,0.66441,0.34058,1.98083,1.44039,0.81372,0.0013268,0.0013268,0.0013268
36,60.4754,1.50976,0.71104,0.77468,0.90855,0.71053,0.83451,0.36351,2.08652,1.19959,0.78604,0.001307,0.001307,0.001307
37,62.3615,1.84527,0.71422,0.7608,0.88148,0.78303,0.84225,0.39297,1.94339,1.23014,0.7852,0.0012872,0.0012872,0.0012872
38,64.1384,1.75488,0.68779,0.76739,0.88155,0.78355,0.8123,0.44024,1.73993,1.24216,0.78657,0.0012674,0.0012674,0.0012674
39,65.8382,1.78708,0.71155,0.76852,0.97004,0.86842,0.87983,0.4844,1.65177,0.9286,0.78464,0.0012476,0.0012476,0.0012476
40,67.5505,1.76856,0.64946,0.76937,0.9584,0.84211,0.9085,0.46843,1.84469,0.86811,0.82002,0.0012278,0.0012278,0.0012278
41,68.9859,1.70551,0.63336,0.7762,1,0.83861,0.90587,0.51224,1.6879,0.85301,0.82402,0.001208,0.001208,0.001208
42,70.6996,1.85175,0.70614,0.73369,1,0.80966,0.90668,0.50765,1.78174,0.81469,0.82361,0.0011882,0.0011882,0.0011882
43,72.1727,1.70201,0.62436,0.77423,0.96852,0.80991,0.91508,0.51062,1.78972,0.77896,0.82945,0.0011684,0.0011684,0.0011684
44,73.6253,1.85081,0.67651,0.76376,0.92591,0.84211,0.88877,0.51728,1.69734,0.7733,0.82874,0.0011486,0.0011486,0.0011486
45,75.2797,1.64409,0.64054,0.75695,0.91679,0.86982,0.90509,0.49721,1.80649,0.87112,0.82133,0.0011288,0.0011288,0.0011288
46,76.8432,1.72002,0.67324,0.77909,0.96955,0.83806,0.88371,0.43887,1.97182,1.03524,0.8156,0.001109,0.001109,0.001109
47,78.3019,1.59635,0.65515,0.75505,0.90923,0.81579,0.85283,0.47765,1.72039,1.11932,0.78969,0.0010892,0.0010892,0.0010892
48,79.7709,1.47411,0.57476,0.73945,0.91087,0.80702,0.83376,0.45762,1.71096,1.10471,0.75735,0.0010694,0.0010694,0.0010694
49,81.2022,1.50328,0.60629,0.77339,0.9332,0.73534,0.82753,0.4317,1.94932,1.16037,0.78709,0.0010496,0.0010496,0.0010496
50,82.6627,1.58386,0.58983,0.75681,0.92305,0.78947,0.90291,0.45531,1.80721,0.92037,0.79682,0.0010298,0.0010298,0.0010298
51,84.1089,1.64275,0.64317,0.74648,0.91986,0.90637,0.93522,0.57612,1.57684,0.71194,0.80561,0.00101,0.00101,0.00101
52,85.79,1.55299,0.59711,0.75949,0.96019,0.84211,0.92431,0.52197,1.63066,0.7972,0.78318,0.0009902,0.0009902,0.0009902
53,87.2321,1.6799,0.6112,0.74131,0.97205,0.81579,0.92185,0.49191,1.71622,0.79654,0.7966,0.0009704,0.0009704,0.0009704
54,88.6844,1.59071,0.60233,0.74403,1,0.80705,0.91156,0.49856,1.64228,0.83995,0.79296,0.0009506,0.0009506,0.0009506
55,90.2505,1.54368,0.58837,0.73689,1,0.78686,0.86548,0.47737,1.66724,1.02443,0.76826,0.0009308,0.0009308,0.0009308
56,91.7099,1.49673,0.61051,0.75223,1,0.80706,0.89362,0.48096,1.77264,0.90926,0.76667,0.000911,0.000911,0.000911
57,93.1535,1.47923,0.63018,0.74868,0.96816,0.86842,0.91566,0.51198,1.65194,0.81709,0.76451,0.0008912,0.0008912,0.0008912
58,94.6168,1.45321,0.58398,0.76132,0.96411,0.86842,0.90624,0.52462,1.54152,0.83211,0.75391,0.0008714,0.0008714,0.0008714
59,96.0728,1.42452,0.55526,0.79264,0.95483,0.86842,0.88821,0.48071,1.59585,0.894,0.75758,0.0008516,0.0008516,0.0008516
60,97.5241,1.65131,0.6331,0.7504,0.95819,0.84211,0.87381,0.49928,1.57702,0.83015,0.75379,0.0008318,0.0008318,0.0008318
61,98.9491,1.66497,0.59723,0.74494,0.96756,0.86842,0.9073,0.51759,1.50255,0.80719,0.75643,0.000812,0.000812,0.000812
62,100.497,1.50214,0.58493,0.74887,0.96771,0.86842,0.90191,0.54716,1.51819,0.83312,0.7592,0.0007922,0.0007922,0.0007922
63,101.956,1.38724,0.56911,0.72629,0.94279,0.86732,0.88961,0.51292,1.62771,0.91628,0.7684,0.0007724,0.0007724,0.0007724
64,103.402,1.44499,0.53714,0.75488,0.96438,0.86842,0.89057,0.51347,1.6542,0.86191,0.77304,0.0007526,0.0007526,0.0007526
65,104.943,1.54324,0.55984,0.73412,0.99887,0.86842,0.88625,0.52643,1.6148,0.85309,0.77586,0.0007328,0.0007328,0.0007328
66,106.394,1.52246,0.53252,0.73657,0.99841,0.84211,0.87806,0.56338,1.54374,0.79548,0.78676,0.000713,0.000713,0.000713
67,107.85,1.31104,0.50317,0.76113,0.94254,0.86346,0.90164,0.53535,1.62237,0.77551,0.77052,0.0006932,0.0006932,0.0006932
68,109.295,1.41636,0.53558,0.75443,0.99348,0.86842,0.91052,0.54966,1.58622,0.74021,0.77975,0.0006734,0.0006734,0.0006734
69,110.719,1.39151,0.54222,0.75553,1,0.86452,0.90905,0.55652,1.53105,0.716,0.78078,0.0006536,0.0006536,0.0006536
70,112.168,1.44436,0.5261,0.74922,0.98515,0.84211,0.91237,0.57947,1.53865,0.72561,0.77433,0.0006338,0.0006338,0.0006338
71,113.852,1.62366,0.56664,0.74466,0.94037,0.86842,0.90909,0.55656,1.55638,0.79279,0.77946,0.000614,0.000614,0.000614
72,115.311,1.36384,0.50784,0.77935,0.94073,0.83545,0.90099,0.55498,1.55892,0.80501,0.77536,0.0005942,0.0005942,0.0005942
73,116.731,1.33764,0.4709,0.76315,0.90813,0.86842,0.9028,0.5539,1.5605,0.75503,0.76968,0.0005744,0.0005744,0.0005744
74,118.295,1.53608,0.51846,0.75522,0.96642,0.86842,0.90814,0.5803,1.49327,0.75567,0.76106,0.0005546,0.0005546,0.0005546
75,119.979,1.34572,0.49215,0.75124,0.96458,0.86842,0.91256,0.55991,1.49044,0.7795,0.76195,0.0005348,0.0005348,0.0005348
76,121.424,1.35779,0.52049,0.73552,0.98707,0.86842,0.91258,0.5319,1.5955,0.81156,0.7651,0.000515,0.000515,0.000515
77,122.86,1.44999,0.50766,0.75232,0.99658,0.86842,0.91303,0.52322,1.63219,0.81196,0.76971,0.0004952,0.0004952,0.0004952
78,124.315,1.25529,0.48503,0.73774,0.97038,0.86238,0.91463,0.52587,1.64337,0.8128,0.7677,0.0004754,0.0004754,0.0004754
79,125.771,1.3923,0.52196,0.74623,0.96799,0.86842,0.89939,0.54235,1.64407,0.82903,0.76716,0.0004556,0.0004556,0.0004556
80,127.218,1.3572,0.50792,0.75048,0.96837,0.84211,0.88838,0.53894,1.60702,0.85764,0.76883,0.0004358,0.0004358,0.0004358
81,128.652,1.35761,0.50437,0.74863,0.96833,0.84211,0.89004,0.5468,1.60902,0.86564,0.76942,0.000416,0.000416,0.000416
82,130.12,1.33065,0.48748,0.76745,0.96942,0.83438,0.90253,0.57715,1.46345,0.82648,0.76765,0.0003962,0.0003962,0.0003962
83,131.666,1.35944,0.52391,0.73003,0.91843,0.88897,0.91147,0.57746,1.50701,0.83659,0.77566,0.0003764,0.0003764,0.0003764
84,133.125,1.33228,0.4828,0.75012,0.94171,0.85053,0.91122,0.57614,1.55846,0.78302,0.78149,0.0003566,0.0003566,0.0003566
85,134.56,1.36044,0.49465,0.73505,0.9439,0.88574,0.9154,0.55667,1.56831,0.76473,0.78675,0.0003368,0.0003368,0.0003368
86,136.048,1.374,0.47442,0.74004,1,0.8093,0.91479,0.57539,1.44819,0.75131,0.77411,0.000317,0.000317,0.000317
87,137.524,1.23885,0.45465,0.74697,0.87405,0.91328,0.91277,0.58552,1.38702,0.75699,0.78284,0.0002972,0.0002972,0.0002972
88,139.206,1.25784,0.44554,0.7453,1,0.80988,0.91035,0.58333,1.49744,0.84938,0.79636,0.0002774,0.0002774,0.0002774
89,140.639,1.2443,0.43898,0.75496,0.99249,0.78947,0.9074,0.54664,1.55242,0.8605,0.79214,0.0002576,0.0002576,0.0002576
90,142.088,1.4323,0.48292,0.71768,0.99305,0.78947,0.90707,0.54244,1.61731,0.90404,0.79716,0.0002378,0.0002378,0.0002378
91,144.242,1.08623,0.44301,0.77133,0.99209,0.78947,0.90845,0.56113,1.52599,0.83802,0.7956,0.000218,0.000218,0.000218
92,145.871,1.08668,0.4004,0.73906,0.9045,0.86842,0.91166,0.56802,1.53418,0.78799,0.78514,0.0001982,0.0001982,0.0001982
93,147.307,1.07592,0.4238,0.74482,1,0.80946,0.91044,0.57052,1.53289,0.7652,0.7843,0.0001784,0.0001784,0.0001784
94,148.781,1.11668,0.39906,0.73993,1,0.80706,0.92139,0.54462,1.59851,0.74444,0.77953,0.0001586,0.0001586,0.0001586
95,150.233,1.20399,0.45067,0.73684,0.97058,0.86842,0.92424,0.52898,1.59945,0.73384,0.77673,0.0001388,0.0001388,0.0001388
96,151.694,1.0995,0.40973,0.74708,0.96975,0.84211,0.92708,0.57603,1.46324,0.70466,0.77558,0.000119,0.000119,0.000119
97,153.143,1.0494,0.41654,0.7437,0.9976,0.86842,0.92819,0.57974,1.44648,0.69546,0.77227,9.92e-05,9.92e-05,9.92e-05
98,154.602,1.17657,0.4265,0.7326,0.99479,0.86842,0.92911,0.61463,1.40647,0.69838,0.77681,7.94e-05,7.94e-05,7.94e-05
99,156.31,1.07894,0.42095,0.75469,0.99316,0.86842,0.93043,0.60121,1.38906,0.69027,0.77209,5.96e-05,5.96e-05,5.96e-05
100,157.877,1.08557,0.40442,0.7412,0.99244,0.86842,0.92989,0.60904,1.38628,0.68873,0.77345,3.98e-05,3.98e-05,3.98e-05
